EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Type of parameter,Description,Parameters / Conditions,Region / Regional Conditions,Value,Unit,Equation
110068,"1B1a - Coal Mining
","1.B.1.a - Coal mining and handling
","METHANE
",1996 IPCC default,Estimated Underground Emission Factors for Selected Countries,,Former Soviet Union,17.8 - 22.2,m3/tonne,Equation 1 on Page 1.105 of Reference Manual of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories
120580,"1B1a1 - Underground Mines
","1.B.1.a.i.1 - Mining
","METHANE
",1996 & 2006 IPCC default,Tier 1 Default Emission Factor for Underground Mining,Average mining depths: &lt; 200 m (less than 200 m),Global average,10,m^3/tonne of coal production,"Equation 4.1.3 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 1 in Section 1.7.2.2 (page 1.105), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120581,"1B1a1 - Underground Mines
","1.B.1.a.i.1 - Mining
","METHANE
",1996 & 2006 IPCC default,Tier 1 Default Emission Factor for Underground Mining,Average mining depths: &gt; 400 m (greater than 400 m),Global average,25,m^3/tonne of coal production,"Equation 4.1.3 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 1 in Section 1.7.2.2 (page 1.105), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120582,"1B1a1 - Underground Mines
","1.B.1.a.i.1 - Mining
","METHANE
",1996 & 2006 IPCC default,Tier 1 Default Emission Factor for Underground Mining,Average mining depths: 200 - 400 m,Global average,18,m^3/tonne of coal production,"Equation 4.1.3 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 1 in Section 1.7.2.2 (page 1.105), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120583,"1B1a1 - Underground Mines
","1.B.1.a.i.2 - Post-mining seam gas emissions
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Post-Mining Emissions from Underground Mines,Average mining depths: &lt; 200 m (less than 200 m),Global average,0.9,m^3/tonne of coal production,"Equation 4.1.4 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 4 in Section 1.7.2.2 (page 1.110), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120584,"1B1a1 - Underground Mines
","1.B.1.a.i.2 - Post-mining seam gas emissions
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Post-Mining Emissions from Underground Mines,Average mining depths: &gt; 400 m (over 400 m),Global average,4.0,m^3/tonne of coal production,"Equation 4.1.4 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 4 in Section 1.7.2.2 (page 1.110), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120585,"1B1a1 - Underground Mines
","1.B.1.a.i.2 - Post-mining seam gas emissions
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Post-Mining Emissions from Underground Mines,Average mining depths: 200 - 400 m,Global average,2.5,m^3/tonne of coal production,"Equation 4.1.4 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 4 in Section 1.7.2.2 (page 1.110), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120586,"1B1a2 - Surface Mines
","1.B.1.a.ii.1 - Mining
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,Average overburden depths: less than 25 m,Global average,0.3,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120587,"1B1a2 - Surface Mines
","1.B.1.a.ii.1 - Mining
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,Average overburden depths: over 50 m,Global average,2.0,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120588,"1B1a2 - Surface Mines
","1.B.1.a.ii.1 - Mining
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,Average overburden depths: 25 - 50 m,Global average,1.2,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120589,"1B1a2 - Surface Mines
","1.B.1.a.ii.2 - Post-mining seam gas emissions
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,Average overburden depths: less than 25 m,Global average,0,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120590,"1B1a2 - Surface Mines
","1.B.1.a.ii.2 - Post-mining seam gas emissions
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,Average overburden depths: over 50 m,Global average,0.2,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120591,"1B1a2 - Surface Mines
","1.B.1.a.ii.2 - Post-mining seam gas emissions
","METHANE
",2006 IPCC default,Tier 1 Default Emission Factor for Surface Mining,Average overburden depths: 25 - 50 m,Global average,0.1,m^3/tonne of coal production,"Equation 4.1.7 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories;                    Equation 2 in Section 1.7.2.2 (page 1.108), Volume 3 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories"
120592,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Percentage of Gassy Coal Mines (Default value for Tier 1 Abandoned Underground Mines),Time interval when coal mines were abandoned: 1900 - 1925,,0 - 10,%,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120593,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Percentage of Gassy Coal Mines (Default value for Tier 1 Abandoned Underground Mines),Time interval when coal mines were abandoned: 1926 - 1950,,3 - 50,%,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120594,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Percentage of Gassy Coal Mines (Default value for Tier 1 Abandoned Underground Mines),Time interval when coal mines were abandoned: 1950 - 1976,,5 - 75,%,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120595,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Percentage of Gassy Coal Mines (Default value for Tier 1 Abandoned Underground Mines),Time interval when coal mines were abandoned: 1976 - 2000,,8 - 100,%,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120596,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Percentage of Gassy Coal Mines (Default value for Tier 1 Abandoned Underground Mines),Time interval when coal mines were abandoned: 2001 - Present,,9 - 100,%,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120597,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.281,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120598,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.279,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120599,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.277,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
